method,topology,regime,duplication,schedule,seed,rmse,rmse_vs_oracle,nll,coverage95,prec_trace_ratio,prec_rel_error,confidence,confidence_oracle,consensus_spread
ec_exact,tree,clean,1,sync,0,0.36189657593976593,5.818661987113228e-16,1.0379245844971847,1.0,1.0,6.149507273892952e-16,3.6736424324257593,3.6736424324257597,2.6645352591003757e-15
naive_sum,tree,clean,1,sync,0,0.3268365661926907,0.2920856897124041,453023789516676.0,0.0,481076187909752.56,500654396572712.75,70.87720395675291,3.6736424324257597,3.44859015630027
mean_pool,tree,clean,1,sync,0,1.1079718510690122,0.7567958007529626,5.90181340447436,0.75,0.2157875789166369,0.8037449373638623,0.73198923777772,3.6736424324257597,0.008648609295104581
cov_int,tree,clean,1,sync,0,1.0116878723874403,0.6580693241031835,5.486807592217447,1.0,0.22492716626690284,0.8016797446739143,0.8236931374097148,3.6736424324257597,2.2426505097428162e-14
inv_cov_int,tree,clean,1,sync,0,1.0435142649450944,0.7073728097874767,5.562382685725675,0.8125,0.3001317248942692,0.7227709174253155,1.236834115730287,3.6736424324257597,0.7918085942368562
bp_backtrack,tree,clean,1,sync,0,0.3225328387933237,0.312033819207602,27333068002.61949,0.0,27348579231.174004,28569187581.232872,51.34076651087065,3.6736424324257597,4.497122802812818
bp_cavity,tree,clean,1,sync,0,0.3618965759397652,7.745659228094709e-16,1.0379245844971812,1.0,1.0000000000000002,5.822672065227473e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
bp_trw,tree,clean,1,sync,0,0.3618965759397652,7.745659228094709e-16,1.0379245844971812,1.0,1.0000000000000002,5.822672065227473e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
ec_exact,tree,clean,1,async,0,0.3618965759397659,4.794956555557532e-16,1.0379245844971847,1.0,1.0,5.804888732182972e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
naive_sum,tree,clean,1,async,0,0.5495042133016137,0.5118606745124805,54428341.86155763,0.0,22881324.652393896,24486749.90011544,36.447228425743866,3.6736424324257597,7.832257883444974
mean_pool,tree,clean,1,async,0,1.1263991756122462,0.7812016418448935,5.923199795705435,0.75,0.21361568660262092,0.8073297105918604,0.7050864139130982,3.6736424324257597,0.010209308938606498
cov_int,tree,clean,1,async,0,1.0375880045198684,0.6853756856096809,5.54316350466946,1.0,0.2234617124712156,0.8020310517079801,0.8095204190209739,3.6736424324257597,0.000995733571658608
inv_cov_int,tree,clean,1,async,0,0.9652218997857717,0.6581400521214733,5.100665604941236,0.890625,0.293188433543357,0.7270350832891015,1.1742194331424791,3.6736424324257597,0.2145625019542452
bp_backtrack,tree,clean,1,async,0,0.43530402702615456,0.41980303335729563,94323.55910362111,0.0,56068.319015905305,59519.698495599725,24.669855483624744,3.6736424324257597,6.433387820400984
bp_cavity,tree,clean,1,async,0,0.3618965759397656,6.182812346380273e-16,1.0379245844971834,1.0,1.0,5.74135323863824e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
bp_trw,tree,clean,1,async,0,0.3618965759397656,6.182812346380273e-16,1.0379245844971834,1.0,1.0,5.74135323863824e-16,3.67364243242576,3.6736424324257597,2.220446049250313e-15
ec_exact,tree,clean,1,lossy,0,0.3618965759397656,5.39853334052246e-16,1.037924584497183,1.0,1.0,6.272374424214417e-16,3.6736424324257593,3.6736424324257597,1.7763568394002505e-15
naive_sum,tree,clean,1,lossy,0,0.22066668118188593,0.3271570972724982,8384081.249063092,0.0,16055052.51222421,16073549.918744598,35.97509303162673,3.6736424324257597,5.942072573864053
mean_pool,tree,clean,1,lossy,0,1.083698199149822,0.7330270753001189,5.7842175643250116,0.875,0.21846432345117767,0.8042606773450443,0.7639317950754886,3.6736424324257597,0.06161328595853999
cov_int,tree,clean,1,lossy,0,1.023139159874651,0.6707395202152522,5.497965540328032,1.0,0.22620416483656824,0.8000020382926356,0.833881349566797,3.6736424324257597,3.1813073435027484e-05
inv_cov_int,tree,clean,1,lossy,0,1.099706691870792,0.7608981493097915,5.605784468885382,0.75,0.3052842514194414,0.717114050435672,1.2740472741072226,3.6736424324257597,0.2826648901511286
bp_backtrack,tree,clean,1,lossy,0,0.23286703339421438,0.2927557638634466,24039.54549173377,0.0,33979.31473333724,34221.498996198105,24.014177832642545,3.6736424324257597,5.217277627752491
bp_cavity,tree,clean,1,lossy,0,0.3618965759397652,6.853422142751216e-16,1.0379245844971807,1.0,1.0,5.270992349727644e-16,3.67364243242576,3.6736424324257597,1.7763568394002505e-15
